dateff,mktrf,smb,hml,rf
20170131,0.019400,-0.011300,-0.027400,0.00040
20170228,0.035700,-0.020400,-0.016700,0.00040
20170331,0.001700,0.011300,-0.033300,0.00030
20170428,0.010900,0.007200,-0.021300,0.00050
20170531,0.010600,-0.025200,-0.037500,0.00060
20170630,0.007800,0.022300,0.014900,0.00060
20170731,0.018700,-0.014600,-0.002200,0.00070
20170831,0.001600,-0.016500,-0.020700,0.00090
20170929,0.025100,0.044500,0.030900,0.00090
20171031,0.022500,-0.019300,0.002200,0.00090
20171130,0.031200,-0.005600,-0.000500,0.00080
20171229,0.010600,-0.013200,0.000300,0.00090
20180131,0.055800,-0.031800,-0.013600,0.00110
20180228,-0.036500,0.002600,-0.010300,0.00110
20180329,-0.023500,0.040600,-0.002300,0.00120
20180430,0.002900,0.011000,0.004800,0.00140
20180531,0.026500,0.053100,-0.031300,0.00140
20180629,0.004800,0.011300,-0.023300,0.00140
20180731,0.031900,-0.022500,0.004500,0.00160
20180831,0.034400,0.011400,-0.039800,0.00160
20180928,0.000600,-0.023000,-0.017000,0.00150
20181031,-0.076800,-0.048200,0.034300,0.00190
20181130,0.016900,-0.006800,0.002600,0.00180
20181231,-0.095500,-0.024200,-0.019000,0.00190
20190131,0.084100,0.029000,-0.004400,0.00210
20190228,0.034000,0.020400,-0.026800,0.00180
20190329,0.011000,-0.029800,-0.040500,0.00190
20190430,0.039600,-0.017400,0.021700,0.00210
20190531,-0.069400,-0.013400,-0.023700,0.00210
20190628,0.069300,0.002500,-0.007100,0.00180
20190731,0.011900,-0.019400,0.004200,0.00190
20190830,-0.025800,-0.023200,-0.049500,0.00160
20190930,0.014300,-0.009700,0.068300,0.00180
20191031,0.020600,0.002800,-0.019300,0.00150
20191129,0.038700,0.008000,-0.020200,0.00120
20191231,0.027700,0.007200,0.017900,0.00140
20200131,-0.001100,-0.031300,-0.062400,0.00130
20200228,-0.081300,0.010300,-0.037900,0.00120
20200331,-0.133800,-0.048900,-0.140200,0.00120
20200430,0.136500,0.024700,-0.011800,0.00000
20200529,0.055800,0.024500,-0.048000,0.00010
20200630,0.024600,0.026900,-0.020400,0.00010
20200731,0.057700,-0.022700,-0.014600,0.00010
20200831,0.076300,-0.002200,-0.029300,0.00010
20200930,-0.036300,-0.000400,-0.026600,0.00010
20201030,-0.021000,0.043900,0.041900,0.00010
20201130,0.124700,0.057400,0.019900,0.00010
20201231,0.046300,0.048300,-0.015600,0.00010
20210129,-0.000300,0.071800,0.029400,0.00000
20210226,0.027800,0.019700,0.072000,0.00000
20210331,0.030800,-0.023700,0.073200,0.00000
20210430,0.049300,-0.031300,-0.009900,0.00000
20210528,0.002900,-0.002400,0.070300,0.00000
20210630,0.027500,0.017500,-0.078100,0.00000
20210730,0.012700,-0.039600,-0.017500,0.00000
20210831,0.029000,-0.004800,-0.001300,0.00000
20210930,-0.043700,0.008000,0.050900,0.00000
20211029,0.066500,-0.022800,-0.004400,0.00000
20211130,-0.015500,-0.013500,-0.005300,0.00000
20211231,0.031000,-0.015700,0.032300,0.00010
